"Instituto Nacional de Estadística y Geografía",
"Índice Nacional de Precios al Consumidor y sus Componentes",

"Título"," Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)"," Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Subyacente"," Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual), Resumen, Subíndices subyacente y complementarios, Subyacente, Mercancías"," Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual), Resumen, Subíndices subyacente y complementarios, Subyacente, Mercancías, Alimentos, bebidas y tabaco"," Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual), Resumen, Subíndices subyacente y complementarios, Subyacente, Mercancías, Mercancías no alimenticias"," Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual), Resumen, Subíndices subyacente y complementarios, Subyacente, Servicios"," Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual), Resumen, Subíndices subyacente y complementarios, Subyacente, Servicios, Vivienda"," Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual), Resumen, Subíndices subyacente y complementarios, Subyacente, Servicios, Educación (colegiaturas)"," Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual), Resumen, Subíndices subyacente y complementarios, Subyacente, Servicios, Otros servicios"," Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente"," Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Agropecuarios"," Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Agropecuarios, Frutas y verduras"," Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Agropecuarios, Pecuarios"," Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno"," Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno, Energéticos"," Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno, Tarifas autorizadas por el gobierno"," Incidencia (INPC, Base segunda quincena de julio 2018), Mensual, Indice Nacional de Precios al Consumidor y sus componentes, Precios al Consumidor (INPC)"," Incidencia (INPC, Base segunda quincena de julio 2018), Mensual, Indice Nacional de Precios al Consumidor y sus componentes, Subyacente"," Incidencia (INPC, Base segunda quincena de julio 2018), Mensual, Indice Nacional de Precios al Consumidor y sus componentes, Subyacente, Mercancías"," Incidencia (INPC, Base segunda quincena de julio 2018), Mensual, Indice Nacional de Precios al Consumidor y sus componentes, Subyacente, Mercancías, Alimentos, bebidas y tabaco"," Incidencia (INPC, Base segunda quincena de julio 2018), Mensual, Indice Nacional de Precios al Consumidor y sus componentes, Subyacente, Mercancías, Mercancías no alimenticias"," Incidencia (INPC, Base segunda quincena de julio 2018), Mensual, Indice Nacional de Precios al Consumidor y sus componentes, Subyacente, Servicios"," Incidencia (INPC, Base segunda quincena de julio 2018), Mensual, Indice Nacional de Precios al Consumidor y sus componentes, Subyacente, Servicios, Vivienda"," Incidencia (INPC, Base segunda quincena de julio 2018), Mensual, Indice Nacional de Precios al Consumidor y sus componentes, Subyacente, Servicios, Educación (colegiaturas)"," Incidencia (INPC, Base segunda quincena de julio 2018), Mensual, Indice Nacional de Precios al Consumidor y sus componentes, Subyacente, Servicios, Otros servicios"," Incidencia (INPC, Base segunda quincena de julio 2018), Mensual, Indice Nacional de Precios al Consumidor y sus componentes, No Subyacente (nueva definición)"," Incidencia (INPC, Base segunda quincena de julio 2018), Mensual, Indice Nacional de Precios al Consumidor y sus componentes, No Subyacente (nueva definición), Agropecuarios"," Incidencia (INPC, Base segunda quincena de julio 2018), Mensual, Indice Nacional de Precios al Consumidor y sus componentes, No Subyacente (nueva definición), Agropecuarios, Frutas y verduras"," Incidencia (INPC, Base segunda quincena de julio 2018), Mensual, Indice Nacional de Precios al Consumidor y sus componentes, No Subyacente (nueva definición), Agropecuarios, Pecuarios"," Incidencia (INPC, Base segunda quincena de julio 2018), Mensual, Indice Nacional de Precios al Consumidor y sus componentes, No Subyacente (nueva definición), Energéticos y tarifas autorizadas por el gobierno"," Incidencia (INPC, Base segunda quincena de julio 2018), Mensual, Indice Nacional de Precios al Consumidor y sus componentes, No Subyacente (nueva definición), Energéticos y tarifas autorizadas por el gobierno, Energéticos"," Incidencia (INPC, Base segunda quincena de julio 2018), Mensual, Indice Nacional de Precios al Consumidor y sus componentes, No Subyacente (nueva definición), Energéticos y tarifas autorizadas por el gobierno, Tarifas autorizadas por el gobierno",
"Periodo disponible","Ene 1969-Mar 2023","Ene 1982-Mar 2023","Ene 1982-Mar 2023","Ene 1982-Mar 2023","Ene 1982-Mar 2023","Ene 1982-Mar 2023","Ene 1982-Mar 2023","Ene 1982-Mar 2023","Ene 1982-Mar 2023","Ene 1982-Mar 2023","Ene 1982-Mar 2023","Ene 1982-Mar 2023","Ene 1982-Mar 2023","Ene 1982-Mar 2023","Ene 1982-Mar 2023","Ene 1982-Mar 2023","Jun 2013-Mar 2023","Dic 2010-Mar 2023","Dic 2010-Mar 2023","Ene 2002-Mar 2023","Dic 2010-Mar 2023","Dic 2010-Mar 2023","Ene 2002-Mar 2023","Ene 2002-Mar 2023","Dic 2010-Mar 2023","Dic 2010-Mar 2023","Ene 2002-Mar 2023","Ene 2002-Mar 2023","Ene 2002-Mar 2023","Dic 2010-Mar 2023","Ene 2002-Mar 2023","Dic 2010-Mar 2023",
"Periodicidad","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual",
"Cifra","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices",
"Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad",
"Base","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Puntos porcentuales","Puntos porcentuales","Puntos porcentuales","Puntos porcentuales","Puntos porcentuales","Puntos porcentuales","Puntos porcentuales","Puntos porcentuales","Puntos porcentuales","Puntos porcentuales","Puntos porcentuales","Puntos porcentuales","Puntos porcentuales","Puntos porcentuales","Puntos porcentuales","Puntos porcentuales",
"Aviso","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  PC00118","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ",
"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices",
"Fecha"," 583731 "," 583732 "," 583737 "," 583738 "," 583739 "," 583740 "," 583741 "," 583742 "," 583743 "," 583744 "," 583745 "," 583746 "," 583747 "," 583748 "," 583749 "," 583750 "," 628159 "," 628160 "," 628161 "," 628162 "," 628163 "," 628164 "," 628165 "," 628166 "," 628167 "," 628168 "," 628169 "," 628170 "," 628171 "," 628172 "," 628173 "," 628174 ",
"Ene 1969","0.01159484238536","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E",
"Feb 1969","0.011636457741601","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E",
