"state","sid","state_abbrev","measles_1965","measlesrate_1965","tetanus_1965","tetanusrate_1965","pertussis_1965","pertussisrate_1965","syphilis_1965","syphilisrate_1965","population_1965","measles_1966","measlesrate_1966","tetanus_1966","tetanusrate_1966","pertussis_1966","pertussisrate_1966","syphilis_1966","syphilisrate_1966","population_1966","measles_1967","measlesrate_1967","tetanus_1967","tetanusrate_1967","pertussis_1967","pertussisrate_1967","syphilis_1967","syphilisrate_1967","population_1967","measles_1968","measlesrate_1968","tetanus_1968","tetanusrate_1968","pertussis_1968","pertussisrate_1968","syphilis_1968","syphilisrate_1968","population_1968","measles_1969","measlesrate_1969","tetanus_1969","tetanusrate_1969","pertussis_1969","pertussisrate_1969","syphilis_1969","syphilisrate_1969","population_1969","measles_1970","measlesrate_1970","tetanus_1970","tetanusrate_1970","pertussis_1970","pertussisrate_1970","syphilis_1970","syphilisrate_1970","population_1970","measles_1971","measlesrate_1971","tetanus_1971","tetanusrate_1971","pertussis_1971","pertussisrate_1971","syphilis_1971","syphilisrate_1971","population_1971","measles_1972","measlesrate_1972","tetanus_1972","tetanusrate_1972","pertussis_1972","pertussisrate_1972","syphilis_1972","syphilisrate_1972","population_1972","measles_1973","measlesrate_1973","tetanus_1973","tetanusrate_1973","pertussis_1973","pertussisrate_1973","syphilis_1973","syphilisrate_1973","population_1973","measles_1974","measlesrate_1974","tetanus_1974","tetanusrate_1974","pertussis_1974","pertussisrate_1974","syphilis_1974","syphilisrate_1974","population_1974","measles_1975","measlesrate_1975","tetanus_1975","tetanusrate_1975","pertussis_1975","pertussisrate_1975","syphilis_1975","syphilisrate_1975","population_1975","measles_1976","measlesrate_1976","tetanus_1976","tetanusrate_1976","pertussis_1976","pertussisrate_1976","syphilis_1976","syphilisrate_1976","population_1976","measles_1977","measlesrate_1977","tetanus_1977","tetanusrate_1977","pertussis_1977","pertussisrate_1977","syphilis_1977","syphilisrate_1977","population_1977","measles_1978","measlesrate_1978","tetanus_1978","tetanusrate_1978","pertussis_1978","pertussisrate_1978","syphilis_1978","syphilisrate_1978","population_1978"
"Aguascalientes",1,"AGU",76,27.4,4,1.4,34,12.3,69,24.9,,312,109.7,1,0.4,18,6.3,78,27.4,,199,65.9,1,0.3,175,57.9,94,31.1,302000,473,153.1,,,161,52.1,74,23.9,309000,106,33.5,1,0.3,44,13.9,62,19.6,316000,694,202.6,4,1.2,27,7.9,57,16.6,342473,68,19.2,4,1.1,339,95.5,36,10.1,354935,522,142.1,3,0.8,97,26.4,20,5.4,367253,96,25.3,,,189,49.7,75,19.7,379999,16,4.1,1,0.3,62,15.8,21,5.3,393187,4,1,1,0.2,106,25.4,163,39,418010,82,19.1,1,0.2,43,10,123,28.6,430071,203,45.3,,,9,2,199,44.4,447639,11,2.4,,,1,0.2,96,20.8,461913
"Baja California",2,"BCN",159,20.1,,,146,18.4,736,93,,290,33.7,1,0.1,175,20.2,628,73,,70,7.8,2,0.2,283,31.4,837,92.9,896000,616,63.8,1,0.1,142,14.7,1103,114.2,966000,291,27.9,,,62,5.9,736,70.5,1044000,735,83.4,1,0.1,417,47.3,581,65.9,881568,393,41.8,3,0.3,195,20.8,872,92.9,939075,1078,108.2,4,0.4,192,19.4,888,89.6,990589,330,31.6,2,0.2,222,21.2,1282,122.7,1044929,80,7.3,2,0.2,73,6.6,785,71.2,1102250,25,2.1,,,21,1.8,683,57.4,1190876,79,6.3,4,0.3,32,2.6,468,37.4,1252817,324,24.5,,,18,1.4,1015,76.9,1320310,101,7.2,3,0.2,47,3.4,571,41,194138
"Baja California Sur",3,"BCS",309,326.5,3,3.2,520,549.4,12,12.7,,171,175.5,5,5.1,847,869.1,17,17.4,,260,260.1,11,11,227,227,61,61,100000,392,380.6,11,10.7,153,148.5,36,35,103000,456,430.2,7,6.6,123,116,102,96.2,106000,365,281.5,10,7.7,117,90.2,9,6.9,129660,426,311.4,8,5.8,297,217.1,27,19.7,136807,530,369.7,16,11.2,389,271.4,49,34.2,143350,442,294.3,22,14.6,165,109.8,31,20.6,150206,15,9.5,10,6.4,76,48.3,11,7,157390,5,2.9,15,8.8,95,55.4,29,16.9,171414,449,248.4,10,5.5,31,17.2,98,54.2,180755,673,405.9,9,4.8,40,21.3,87,46.3,187970,34,17.5,7,3.6,31,16,73,37.6,1392435
"Campeche",4,"CAM",446,225.4,22,11.1,778,393.3,44,22.2,,1423,696.6,16,7.8,424,207.6,40,19.6,,589,2.7,18,8,230,102.6,38,16.9,224000,549,237.7,13,5.6,318,137.7,103,44.6,231000,392,164,10,4.2,468,195.8,81,33.9,239000,394,154.6,10,3.9,253,99.3,122,47.9,254779,790,296,15,5.6,261,97.8,87,32.6,266933,516,185.4,10,3.6,195,70.1,63,22.6,278311,304,104.8,7,2.4,486,167.5,109,37.6,290174,13,4.3,6,2,84,27.8,35,11.6,302543,10,3.1,9,2.8,3,0.9,169,52.5,321777,745,221.3,5,1.5,17,5.1,79,23.5,336578,436,124.8,10,2.9,137,39.2,52,14.9,349456,26,7.2,6,1.7,180,49.8,51,14.1,361497
"Coahuila",5,"CHP",585,57.3,16,1.6,563,55.2,1040,101.9,,3736,357.8,25,2.4,1904,182.4,377,36.1,,2481,213.4,36,3.1,1781,153.3,,,1162000,3058,256.3,27,2.3,709,59.4,500,41.9,1193000,2117,172.8,20,1.6,589,48.1,378,30.8,1225000,2881,255.1,31,2.7,1212,107.3,392,34.7,1129237,3118,271.3,36,3.1,918,79.9,654,56.9,1149265,4842,412.4,20,1.7,1471,125.3,675,57.5,1174042,3128,260.8,18,1.5,1173,97.8,288,24,1199353,143,11.7,10,0.8,467,38.1,395,32.2,1225210,83,6.4,3,0.2,44,3.4,407,31.3,1302145,331,24.3,3,0.2,32,2.4,345,25.9,1333845,3312,242.9,2,0.2,109,8,292,21.4,1363588,120,8.6,11,0.8,62,4.4,236,16.9,1392435
"Colima",6,"CHH",403,202.1,21,10.5,132,66.2,590,295.8,,495,238.9,10,4.8,131,63.2,144,69.5,,434,196.2,18,8.1,370,167.2,127,57.4,221000,404,176.4,19,8.3,155,67.7,248,108.3,229000,153,64.3,7,2.9,80,33.6,211,88.6,238000,355,145.3,18,7.4,21,8.6,178,72.9,244243,213,83.5,20,7.8,131,51.3,221,86.6,255164,353,133,20,7.5,138,52,141,53.1,265501,55,19.9,18,6.5,25,9,71,25.7,276257,14,4.9,10,3.5,9,3.1,123,42.8,287449,11,3.6,1,0.3,25,8.2,103,33.7,305741,309,97.2,3,0.9,48,15.1,91,28.6,317879,265,79.8,2,0.6,59,17.8,183,55.1,332015,43,12.4,1,0.3,14,4,124,35.6,348109
"Chiapas",7,"COA",2382,170,34,2.4,1531,109.2,156,11.1,,1482,102.7,51,3.5,1143,79.2,92,6.4,,1313,89.3,59,4,1943,132.1,58,3.9,1470000,1035,68.5,20,1.3,1032,68.3,70,4.6,1512000,870,55.9,16,1,947,60.9,42,2.7,1556000,1306,82.2,26,1.6,633,39.8,20,1.2,1589150,1288,79,32,2,1274,78.2,75,4.6,1630155,898,53.6,31,1.9,1231,73.5,187,11.2,1674570,287,16.7,46,2.7,795,46.2,91,5.3,1720195,183,10.4,46,2.6,788,44.6,143,8.1,1767063,78,4.2,63,3.4,249,13.3,124,6.6,1876532,888,46,42,2.2,414,21.4,216,11.2,1932205,1193,60.1,46,2.3,483,24.3,213,10.7,1984340,29,1.4,35,1.7,336,16.4,290,14.2,2041791
"Chihuahua",8,"COL",693,46.8,5,0.3,651,44,776,52.4,,1249,81.3,15,1,478,31.1,446,29,,918,54.2,5,0.3,537,31.7,522,30.8,1678000,2318,132.4,3,0.2,464,26.5,851,48.6,1751000,684,37.4,5,0.3,405,22.2,755,41.3,1826000,1947,119.2,15,0.9,601,36.8,818,50.1,1633180,1600,95.3,,,672,40,738,44,1678774,2387,138.2,5,0.3,775,44.9,823,47.7,1727061,1802,101.4,6,0.3,872,49.1,710,40,1776736,131,7.2,,,198,10.8,439,24,1827840,60,3.1,5,0.3,65,3.3,632,32.5,1945699,245,12.2,6,0.3,81,4,439,21.9,2000767,2911,141.1,3,0.2,150,7.3,320,15.5,2062499,87,4.1,4,0.2,34,1.6,438,20.6,2122124
"Distrito Federal",9,"CMX",7987,129.4,5,0.1,1088,17.6,4320,70,,5720,88.4,6,0.1,1359,21,4924,76.1,,3497,49,4,0.1,3113,43.6,5061,70.9,6815000,3721,52.3,3,0,1826,25.7,4711,66.2,7115000,2897,39,,,637,8.6,3755,50.6,7425000,2914,41.8,14,0.2,1022,14.7,3961,55.4,6962210,1722,23.8,1,0,1819,25.2,3943,54.5,7232229,3407,45.5,4,0.1,1154,15.4,3327,44.4,7495345,594,7.6,,,749,9.6,2267,29.2,7768033,214,2.7,,,401,5,2121,26.3,8050642,200,2.3,1,0,213,2.5,2006,23.3,8591750,1733,19.5,5,0.1,496,5.6,1449,16.3,8906841,779,8.4,2,0,206,2.2,1323,14.3,9233770,369,3.9,4,1,64,0.7,1496,15.6,9572989
"Durango",10,"DUR",376,44.9,14,1.7,327,39.1,333,39.8,,2728,319.8,4,0.5,695,81.5,305,35.8,,1194,129,11,1.2,919,99.3,443,47.8,919000,1336,142.3,6,0.6,760,80.9,239,25.5,939000,1431,149.2,4,0.4,432,45,223,23.2,959000,1376,144.6,2,0.2,525,55.2,370,38.9,951238,1038,107.1,2,0.2,754,77.8,294,30.3,968813,1520,153.5,2,0.2,680,68.7,266,26.9,990212,895,88.4,6,0.6,486,48,165,16.3,1012084,49,4.5,2,0.2,535,51.7,163,15.8,1034439,84,7.7,,,154,14,134,12.2,1097651,522,46.5,2,0.2,114,10.2,107,9.5,1121925,760,66.1,2,0.2,216,18.8,219,19.1,1149134,53,4.5,,,60,5.1,53,4.5,1178214
